ID,Number of Bags,Bag Weight,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Overall,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects
0,1,35 kg,Castillo,Double Anaerobic Washed,8.58,8.5,8.42,8.58,8.25,8.42,10,8.58,89.33,11.8,0,0,green,3
1,1,80 kg,Gesha,Washed / Wet,8.5,8.5,7.92,8,7.92,8.25,10,8.5,87.58,10.5,0,0,blue-green,0
2,19,25 kg,Java,Semi Washed,8.33,8.42,8.08,8.17,7.92,8.17,10,8.33,87.42,10.4,0,0,yellowish,2
3,1,22 kg,Gesha,Washed / Wet,8.08,8.17,8.17,8.25,8.17,8.08,10,8.25,87.17,11.8,0,0,green,0
4,2,24 kg,Red Bourbon,"Honey,Mossto",8.33,8.33,8.08,8.25,7.92,7.92,10,8.25,87.08,11.6,0,2,yellow-green,2
5,5,30 kg,Gesha,Washed / Wet,8.33,8.33,8.25,7.83,7.83,8.17,10,8.25,87,10.7,0,0,green,2
6,1,27 kg,Gesha,Washed / Wet,8.33,8.17,8.08,8,7.83,8.25,10,8.25,86.92,9.1,0,0,green,0
7,1,90 kg,Sl34+Gesha,Natural / Dry,8.25,8.25,8.17,8,7.92,8.08,10,8.08,86.75,10,0,0,yellow green,1
8,1,30 kg,SL34,Washed / Wet,8.08,8.08,8.25,8.08,7.92,8,10,8.25,86.67,10.8,0,0,greenish,0
9,320,60 kg,Bourbon,Washed / Wet,8.08,8.17,8.08,8.17,8,8,10,8,86.5,11,0,0,greenish,0
10,10,30 kg,Ethiopian Heirlooms,Natural / Dry,8.08,8.25,8,8.08,7.92,7.92,10,8,86.25,11.8,0,1,greenish,1
11,5,15 kg,Gesha,Natural / Dry,8.08,8,8,7.75,8.25,8.17,10,8,86.25,11.5,0,0,brownish,1
12,1,60 kg,Gesha,Washed / Wet,8.08,8,8.08,8.08,8,8,10,8,86.25,11.9,0,0,green,0
13,40,60 kg,Gesha,Natural / Dry,7.67,8.17,8,8.33,8,8,10,8,86.17,11.6,0,3,yellow- green,2
14,70,35 kg,Caturra,Washed / Wet,8.08,8,8.08,7.92,8.08,8,10,8,86.17,10.6,0,0,green,0
15,1,60 kg,SL34,Pulped natural / honey,8.17,8.08,8,7.92,8,7.92,10,8,86.08,10.2,0,0,green,0
16,8,5 kg,"Wolishalo,Kurume,Dega",Washed / Wet,8.17,8.08,7.92,8.17,7.75,7.92,10,8.08,86.08,11.3,0,2,green,2
17,5,2 kg,Gesha,Natural / Dry,8,8.17,8,7.92,7.92,7.92,10,8.17,86.08,10.3,0,0,yellow-green,0
18,8,1 kg,Gesha,Natural / Dry,8.08,8.17,7.75,7.92,7.83,8,10,8.17,85.92,11,0,0,brownish,1
19,200,30 kg,Bourbon,Washed / Wet,8.17,8,7.92,7.92,8.17,7.75,10,7.92,85.83,10,0,0,greenish,0
20,8,30 kg,Gesha,Natural / Dry,8,7.92,8.08,7.92,7.75,8,10,8.08,85.75,11.6,0,0,yellowish,0
21,1,20 kg,Typica,Natural / Dry,8.08,8,7.92,7.92,8,7.83,10,7.92,85.67,10.4,0,0,green,0
22,2,1 kg,Catimor,Pulped natural / honey,7.67,8,7.83,8,8.08,8,10,8.08,85.67,9.8,0,0,browish-green,5
23,6,5 kg,Castillo Paraguaycito,,8.08,8,7.83,8.17,7.75,7.83,10,8,85.67,11.3,0,0,brownish,2
24,4,50 kg,SL34,Washed / Wet,7.83,8,7.92,8,8,7.92,10,7.92,85.58,10.6,0,0,bluish-green,0
25,25,60 kg,,Pulped natural / honey,7.83,8.08,7.83,7.92,8,7.83,10,8,85.5,11.3,2,0,green,3
26,1,100 kg,Gesha,Natural / Dry,7.92,7.92,8,7.92,7.83,7.92,10,8,85.5,9.1,0,0,green,2
27,1,90 kg,Gesha,Natural / Dry,8.17,8.08,7.92,8,7.58,7.83,10,7.92,85.5,10.6,0,0,green,0
28,1,85 kg,Gesha,Natural / Dry,8,8,8,7.92,7.75,7.92,10,7.92,85.5,10.2,0,0,blue-green,0
29,80,15 kg,Typica,Washed / Wet,8,7.92,8,7.83,7.67,8,10,8,85.42,9.3,0,0,green,0
30,3,48 kg,Typica,Washed / Wet,8,8,7.83,7.83,7.75,7.92,10,8.08,85.42,11.4,0,0,bluish-green,0
31,3,50 kg,Typica,Washed / Wet,7.92,8,7.83,7.92,7.83,7.83,10,8,85.33,10.8,0,0,green,0
32,4,5 kg,Gesha,Washed / Wet,8.08,8.17,7.67,7.83,7.67,7.92,10,8,85.33,11.3,0,0,green,0
33,320,60 kg,Ethiopian Heirlooms,Washed / Wet,7.67,7.83,7.83,8,8,8,10,8,85.33,9.9,0,2,green,3
34,320,60 kg,Ethiopian Heirlooms,Natural / Dry,8,8.08,8,8,7.67,7.75,10,7.83,85.33,12.3,0,3,yellow green,4
35,320,19200 kg,Ethiopian Heirlooms,Washed / Wet,7.92,7.75,7.83,8.17,8,7.75,10,7.83,85.25,9.4,0,1,greenish,1
36,1,100 kg,Gesha,Washed / Wet,8,7.92,7.83,7.92,7.83,7.83,10,7.92,85.25,9.5,0,0,bluish-green,0
37,20,5 kg,Gesha,Pulped natural / honey,8.25,8.08,7.83,7.75,7.67,7.75,10,7.92,85.25,11.3,0,0,green,0
38,300,60 kg,SL28,Washed / Wet,8.17,7.75,7.83,7.58,7.92,8,10,8,85.25,9.2,0,0,greenish,1
39,20,1 kg,Gesha,Washed / Wet,7.75,7.92,7.75,8,7.83,7.92,10,8,85.17,10.3,0,0,bluish-green,0
40,1,10 kg,Typica,Natural / Dry,8,7.92,7.83,7.92,7.75,7.75,10,7.92,85.08,10,0,0,brownish,0
41,1,2 kg,Typica,Washed / Wet,8,8.08,7.67,7.75,7.92,7.83,10,7.83,85.08,10.5,0,0,greenish,0
42,1,50 kg,Gesha,Washed / Wet,8,7.92,7.67,8,7.75,7.83,10,7.92,85.08,10,0,0,pale yellow,5
43,320,60 kg,SL14,Washed / Wet,8,7.92,7.75,7.75,7.75,7.92,10,7.92,85,11,0,0,green,1
44,1,50 kg,Typica,,7.92,8,7.92,8,7.58,7.75,10,7.83,85,10.9,0,0,green,0
45,6,50 kg,Gesha,Natural / Dry,8.17,8.08,7.83,7.67,7.67,7.75,10,7.83,85,10.1,0,0,yellow green,0
46,600,30 kg,Caturra,Washed / Wet,7.67,8.08,7.67,8,7.92,7.83,10,7.83,85,9.9,0,1,green,1
47,632,30 kg,Catuai,Washed / Wet,7.67,8,7.75,7.92,8,7.83,10,7.83,85,11.3,0,0,green,4
48,275,69 kg,Caturra,Washed / Wet,7.83,7.92,7.75,8,7.75,7.75,10,7.92,84.92,11.7,0,3,green,1
49,1,13 kg,Typica,Washed / Wet,7.92,7.92,7.83,7.83,7.75,7.83,10,7.83,84.92,9.5,0,0,green,2
50,1,4 kg,Yellow Bourbon,Natural / Dry,8,8,7.75,7.75,7.67,7.75,10,7.92,84.83,9.7,0,0,brownish,0
51,320,60 kg,Catimor,,7.83,7.92,7.75,7.83,7.83,7.83,10,7.83,84.83,11.9,0,3,bluish-green,2
52,3,5 kg,Gesha,Washed / Wet,8,8,7.83,7.83,7.58,7.83,10,7.75,84.83,10.7,0,0,greenish,0
53,620,30 kg,Bourbon,Washed / Wet,7.92,7.75,7.75,7.92,7.83,7.83,10,7.83,84.83,11.2,0,0,greenish,0
54,1,25 kg,SL34,Natural / Dry,7.83,7.83,7.67,7.67,7.83,8,10,8,84.83,9.5,0,0,greenish,0
55,1,30 kg,SL34,Washed / Wet,7.67,7.92,7.92,7.83,7.75,7.83,10,7.83,84.75,10.4,0,0,green,0
56,5,36 kg,Yellow Bourbon,Double Carbonic Maceration / Natural,7.83,7.92,7.75,7.92,7.67,7.83,10,7.83,84.75,11.2,0,1,green,5
57,200,30 kg,Catuai,Washed / Wet,7.83,7.83,7.75,7.92,7.83,7.75,10,7.83,84.75,10.3,0,1,bluish-green,5
58,1,2 kg,Yellow Bourbon,Pulped natural / honey,7.92,8.08,7.67,7.92,7.67,7.75,10,7.75,84.75,10,0,0,blue-green,0
59,600,30 kg,Caturra,Washed / Wet,7.67,8,7.67,7.83,7.92,7.67,10,7.92,84.67,10.6,0,0,green,1
60,66,30 kg,Bourbon,Natural / Dry,7.83,8,7.67,7.83,7.75,7.75,10,7.83,84.67,10.9,0,3,yellow-green,2
61,260,69 kg,Caturra,Washed / Wet,7.58,7.83,7.5,7.67,7.83,7.67,10,8.58,84.67,10,0,1,green,2
62,1,16 kg,Typica,Pulped natural / honey,7.83,7.83,7.75,7.75,7.75,7.75,10,7.92,84.58,9.6,0,0,greenish,0
63,16,5 kg,Gesha,Pulped natural / honey,8.17,7.83,7.67,7.83,7.67,7.67,10,7.75,84.58,11.5,0,0,green,0
64,74,45 kg,Catrenic,Natural / Dry,7.92,7.75,7.67,7.67,7.83,7.75,10,8,84.58,9.9,1,0,green,2
65,1,80 kg,Gesha,Washed / Wet,8.08,7.83,7.67,7.67,7.67,7.75,10,7.92,84.58,11.2,0,0,green,2
66,1,104 kg,SL34,Natural / Dry,7.83,8,7.67,7.75,7.67,7.75,10,7.92,84.58,10.3,0,0,green,0
67,3,5 kg,Catimor,Natural / Dry,8,7.83,7.75,7.67,7.58,7.83,10,7.92,84.58,11.6,0,0,brownish,0
68,1,22 kg,Gesha,Washed / Wet,7.75,7.83,7.67,7.83,7.75,7.75,10,7.92,84.5,11.7,0,1,green,0
69,1,300 kg,unknown,Pulped natural / honey,7.75,7.92,7.83,7.75,7.75,7.75,10,7.75,84.5,11.3,0,0,bluish-green,0
70,340,69 kg,Catuai,Washed / Wet,7.83,7.92,7.75,7.75,7.75,7.75,10,7.75,84.5,9.8,0,0,green,3
71,584,30 kg,Ethiopian Heirlooms,Washed / Wet,7.92,7.83,7.75,7.92,7.58,7.67,10,7.83,84.5,10.9,0,0,green,9
72,1,20 kg,Typica,Natural / Dry,8.08,7.92,7.75,7.83,7.5,7.58,10,7.83,84.5,10.2,0,0,green,0
73,1,100 kg,Gesha,Washed / Wet,7.83,8,7.5,7.75,7.75,7.75,10,7.83,84.42,10.1,0,0,bluish-green,1
74,600,30 kg,Bourbon,Washed / Wet,7.67,7.83,7.75,7.75,7.83,7.75,10,7.75,84.33,9.2,0,1,green,5
75,10,10 kg,Catuai,Washed / Wet,7.92,7.83,7.75,7.92,7.5,7.67,10,7.75,84.33,10.1,3,0,yellow-green,7
76,320,60 kg,Ethiopian Heirlooms,Natural / Dry,7.83,7.75,7.58,7.92,8,7.5,10,7.75,84.33,11,0,5,yellow green,4
77,20,30 kg,Pacamara,Pulped natural / honey,7.83,7.83,7.83,7.83,7.67,7.67,10,7.67,84.33,10.3,0,0,brownish,4
78,275,70 kg,Castillo and Colombia blend,Washed / Wet,7.75,7.75,7.75,7.75,7.83,7.67,10,7.83,84.33,11.6,0,0,green,1
79,1,60 kg,"Jember,TIM-TIM,Ateng",Wet Hulling,7.67,7.67,7.83,7.83,7.67,7.75,10,7.83,84.25,11.5,0,1,blue-green,1
80,55,30 kg,Typica,Washed / Wet,7.58,7.92,7.67,7.75,7.83,7.75,10,7.75,84.25,10,0,0,green,1
81,5,60 kg,Bourbon,Washed / Wet,7.92,7.92,7.58,7.75,7.58,7.67,10,7.83,84.25,12.1,0,0,blue-green,0
82,345,30 kg,Catuai,Washed / Wet,7.75,7.75,7.58,7.83,7.75,7.75,10,7.75,84.17,10.2,0,0,green,2
83,275,69 kg,Caturra,Washed / Wet,7.58,7.92,7.58,7.83,7.75,7.67,10,7.75,84.08,11,0,3,green,2
84,1,110 kg,unknown,Pulped natural / honey,7.83,7.92,7.83,7.58,7.58,7.67,10,7.67,84.08,10.8,0,0,greenish,2
85,1,80 kg,Gesha,Natural / Dry,7.92,7.75,7.67,7.75,7.75,8,9.33,7.92,84.08,10.6,0,0,yello-green,0
86,430,30 kg,Caturra,Washed / Wet,7.67,7.83,7.67,7.83,7.75,7.67,10,7.67,84.08,11,0,1,green,2
87,200,30 kg,Caturra,Washed / Wet,7.67,7.92,7.67,7.75,7.67,7.58,10,7.75,84,11,0,2,green,2
88,16,30 kg,Typica,Pulped natural / honey,7.75,7.75,7.75,7.67,7.75,7.67,10,7.67,84,9.4,0,0,green,0
89,200,60 kg,Bourbon,Washed / Wet,7.58,7.67,7.75,7.75,7.75,7.75,10,7.75,84,9.8,0,0,greenish,3
90,300,60 kg,Ethiopian Heirlooms,Washed / Wet,8,7.75,7.5,7.67,7.67,7.67,10,7.75,84,11.3,1,1,green,1
91,320,60 kg,Bourbon,Washed / Wet,7.75,7.58,7.58,7.92,7.67,7.75,10,7.75,84,11.6,0,0,greenish,2
92,275,70 kg,Caturra,Washed / Wet,7.67,7.83,7.58,7.92,7.67,7.67,10,7.67,84,13.3,0,2,green,3
93,250,35 kg,Caturra,Washed / Wet,7.67,7.92,7.58,7.75,7.67,7.58,10,7.75,83.92,9.5,0,0,green,2
94,1,15 kg,Gesha,Natural / Dry,7.83,7.83,7.58,7.67,7.67,7.58,10,7.75,83.92,11.9,0,0,greenish,0
95,35,30 kg,Bourbon,Washed / Wet,7.58,7.83,7.58,7.75,7.67,7.75,10,7.75,83.92,10,0,1,green,2
96,1,30 kg,Catimor,Natural / Dry,7.75,7.67,7.58,7.75,7.75,7.67,10,7.75,83.92,11.6,0,0,yellowish,3
97,375,70 kg,,Washed / Wet,7.67,7.75,7.67,7.75,7.67,7.67,10,7.67,83.83,11.9,0,1,green,1
98,600,30 kg,"BOURBON, CATURRA Y CATIMOR",Natural / Dry,7.58,7.83,7.67,7.67,7.67,7.67,10,7.75,83.83,10.8,0,0,green,4
99,635,30 kg,Bourbon,Washed / Wet,7.58,7.92,7.5,7.67,7.75,7.67,10,7.75,83.83,10.9,0,1,greenish,4
100,100,60 kg,Ethiopian Heirlooms,Washed / Wet,7.83,7.67,7.5,7.92,7.5,7.67,10,7.75,83.83,12,0,0,green,12
101,285,70 kg,Caturra,Washed / Wet,7.92,7.75,7.42,7.58,7.92,7.67,10,7.58,83.83,12.1,2,5,green,5
102,4,15 kg,Typica,Washed / Wet,7.67,7.92,7.58,7.58,7.58,7.75,10,7.75,83.83,11.8,0,3,green,3
103,40,35 kg,Bourbon Sidra,Pulped natural / honey,7.67,7.92,7.67,7.58,7.67,7.67,10,7.58,83.75,10.6,0,0,greenish,1
