ID,Number of Bags,Bag Weight,Variety,Processing Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Uniformity,Overall,Total Cup Points,Moisture Percentage,Category One Defects,Quakers,Color,Category Two Defects
104,600,30 kg,Sarchimor,Washed / Wet,7.67,7.67,7.58,7.67,7.83,7.58,10,7.75,83.75,11.7,4,0,green,12
105,1,1 kg,,,7.83,7.75,7.5,7.58,7.67,7.67,10,7.67,83.67,12.4,1,0,greenish,9
106,50,2 kg,SL34,Washed / Wet,7.67,7.67,7.75,7.75,7.5,7.67,10,7.67,83.67,10,0,0,bluish-green,0
107,100,30 kg,"Catimor,Catuai,Caturra,Bourbon",Natural / Dry,7.83,7.83,7.67,7.58,7.58,7.58,10,7.58,83.67,10.2,0,1,pale yellow,1
108,1,13 kg,unknown,Pulped natural / honey,7.58,7.75,7.67,7.83,7.5,7.67,10,7.67,83.67,9.2,0,0,greenish,0
109,9,15 kg,Parainema,Natural / Dry,7.67,7.67,7.58,7.75,7.67,7.67,10,7.67,83.67,11.1,0,2,pale yellow,1
110,1,10 kg,unknown,Natural / Dry,7.58,7.67,7.5,7.75,7.75,7.67,10,7.67,83.58,8.4,0,0,green,0
111,1,10 kg,Typica,Pulped natural / honey,7.58,7.75,7.58,7.75,7.58,7.67,10,7.67,83.58,9.1,0,0,green,0
112,275,69 kg,Caturra,Washed / Wet,7.58,7.83,7.58,7.67,7.58,7.58,10,7.75,83.58,10.9,0,2,green,4
113,260,69 kg,SHG,Washed / Wet,7.75,7.67,7.58,7.58,7.58,7.67,10,7.67,83.5,11.2,0,1,green,5
114,600,30 kg,Caturra,Washed / Wet,7.75,7.75,7.5,7.58,7.83,7.5,10,7.58,83.5,12.2,0,0,bluish-green,2
115,2,1 kg,Bourbon,Washed / Wet,7.42,7.83,7.58,7.67,7.67,7.75,10,7.58,83.5,13.1,0,0,green,0
116,320,19200 kg,Ethiopian Heirlooms,Washed / Wet,7.42,7.42,7.42,8,7.92,7.67,10,7.67,83.5,10.4,0,1,greenish,11
117,5,2 kg,Java,Washed / Wet,7.67,7.67,7.5,7.67,7.58,7.67,10,7.67,83.42,11.6,0,2,green,0
118,150,60 kg,SL14,Washed / Wet,7.75,7.75,7.5,7.5,7.58,7.58,10,7.75,83.42,10.1,0,0,green,3
119,1,40 kg,Typica + SL34,Washed / Wet,7.75,7.92,7.67,7.92,7.75,7.83,8.67,7.92,83.42,10.1,0,0,blue-green,0
120,320,60 kg,SL14,Washed / Wet,7.75,7.67,7.58,7.5,7.67,7.5,10,7.67,83.33,11.1,0,0,green,5
121,1,8 kg,Typica,Pulped natural / honey,7.58,7.67,7.5,7.75,7.5,7.58,10,7.75,83.33,9.7,0,0,greenish,0
122,320,60 kg,"MARSELLESA, CATUAI, CATURRA & MARSELLESA, ANACAFE 14, CATUAI",Washed / Wet,7.5,7.75,7.58,7.75,7.67,7.58,10,7.5,83.33,11.4,0,0,green,0
123,1,80 kg,Typica,Washed / Wet,7.58,7.67,7.58,7.75,7.42,7.58,10,7.75,83.33,9.6,0,0,green,1
124,2,1 kg,Caturra,Washed / Wet,7.67,7.67,7.42,7.75,7.5,7.75,10,7.58,83.33,13.5,0,0,greenish,0
125,320,69 kg,Caturra,Washed / Wet,7.58,7.75,7.42,7.67,7.5,7.75,10,7.67,83.33,0,0,0,green,3
126,1,100 kg,SL34,Washed / Wet,7.75,7.83,7.58,7.58,7.58,7.5,10,7.5,83.33,10.7,0,0,blue-green,1
127,2,1 kg,Typica,Washed / Wet,7.92,7.92,7.75,7.33,7.58,7.5,10,7.33,83.33,12.3,0,0,yellow-green,16
128,320,60 kg,Bourbon,Washed / Wet,7.92,7.67,7.42,7.5,7.67,7.58,10,7.5,83.25,10.4,0,0,greenish,8
129,960,60 kg,Mundo Novo,Natural / Dry,7.58,7.5,7.5,7.83,7.67,7.5,10,7.67,83.25,11.6,0,0,green,4
130,1,320 kg,unknown,Washed / Wet,7.75,7.75,7.58,7.67,7.42,7.5,10,7.58,83.25,9.6,0,0,green,1
131,2,12 kg,"Red Bourbon,Caturra",Anaerobico 1000h,7.67,7.67,7.58,7.67,7.58,7.58,10,7.5,83.25,10.9,0,0,brownish,2
132,9,15 kg,Lempira,Washed / Wet,7.67,7.75,7.67,7.58,7.5,7.58,10,7.5,83.25,10.5,0,0,bluish-green,3
133,260,69 kg,Catuai,Washed / Wet,7.75,7.58,7.58,7.58,7.5,7.58,10,7.67,83.25,11.3,0,1,green,5
134,1,16 kg,Typica,Natural / Dry,7.75,7.75,7.5,7.75,7.5,7.42,10,7.5,83.17,9.7,0,0,greenish,2
135,1,100 kg,unknown,Washed / Wet,7.67,7.67,7.5,7.58,7.58,7.5,10,7.67,83.17,11.8,0,0,blue-green,0
136,26,60 kg,Catimor,Natural / Dry,7.67,7.75,7.33,7.67,7.58,7.5,10,7.58,83.08,11.8,0,0,brownish,7
137,250,69 kg,Catuai,Washed / Wet,7.67,7.67,7.5,7.58,7.58,7.5,10,7.58,83.08,10.6,0,2,green,7
138,325,69 kg,Catuai,Washed / Wet,7.75,7.58,7.58,7.58,7.58,7.5,10,7.5,83.08,9.6,0,0,green,2
139,600,30 kg,Caturra,Washed / Wet,8,7.67,7.42,7.58,7.58,7.42,10,7.33,83,13.1,0,0,bluish-green,1
140,1,12 kg,Typica,Pulped natural / honey,7.5,7.67,7.58,7.58,7.5,7.5,10,7.58,82.92,8.9,0,0,blue-green,0
141,141,69 kg,Bourbon,Washed / Wet,7.75,7.5,7.42,7.67,7.58,7.5,10,7.5,82.92,11.9,2,0,green,1
142,1,12 kg,Typica Gesha,Washed / Wet,7.58,7.5,7.5,7.67,7.58,7.5,10,7.58,82.92,11.5,0,1,greenish,3
143,300,1 kg,Gesha,,7.67,7.5,7.42,7.75,7.42,7.58,10,7.58,82.92,10.2,0,0,yellow-green,0
144,275,69 kg,Catuai,Washed / Wet,7.67,7.58,7.5,7.5,7.58,7.5,10,7.5,82.83,10,0,0,green,4
145,2,1 kg,Gayo,Washed / Wet,7.17,7.92,7.58,7.5,7.58,7.67,10,7.42,82.83,11.8,0,0,yellow-green,5
146,22,60 kg,Catimor,Pulped natural / honey,7.58,7.42,7.58,7.5,7.67,7.75,10,7.33,82.83,13.3,0,0,green,4
147,275,69 kg,SHG,Natural / Dry,7.33,7.58,7.25,7.33,7.75,8.17,10,7.33,82.75,10.5,5,2,green,1
148,10,30 kg,SL28,Pulped natural / honey,7.33,7.5,7.25,7.92,7.75,7.58,10,7.42,82.75,11.8,0,0,pale yellow,1
149,250,70 kg,Caturra,Washed / Wet,7.58,7.67,7.58,7.5,7.33,7.5,10,7.5,82.67,11.8,0,1,green,2
150,2,1 kg,Caturra,Washed / Wet,7.33,7.58,7.58,7.5,7.67,7.67,10,7.33,82.67,13,1,0,greenish,0
151,6,50 kg,"Bourbon, Catimor, Caturra, Typica",Natural / Dry,7.5,7.58,7.5,7.42,7.5,7.58,10,7.58,82.67,11.2,0,0,yellow green,0
152,325,69 kg,Catuai,Washed / Wet,7.67,7.58,7.33,7.5,7.58,7.5,10,7.5,82.67,9.6,0,0,green,2
153,1,4 kg,unknow,Natural / Dry,7.67,7.67,7.42,7.42,7.42,7.5,10,7.5,82.58,9.8,0,0,green,0
154,1,32 kg,Caturra,Washed / Wet,7.67,7.58,7.42,7.42,7.5,7.5,10,7.5,82.58,8.4,0,0,blue-green,2
155,120,45 kg,Parainema,Washed / Wet,7.5,7.58,7.42,7.58,7.5,7.58,10,7.42,82.58,10.1,0,0,green,0
156,600,30 kg,Bourbon,Washed / Wet,7.67,7.33,7.17,7.67,7.83,7.5,10,7.33,82.5,11.3,0,0,green,2
157,200,30 kg,Caturra,Washed / Wet,7.75,7.67,7.17,7.67,7.42,7.42,10,7.42,82.5,10,0,0,green,0
158,620,30 kg,Mundo Novo,Natural / Dry,7.5,7.58,7.5,7.5,7.67,7.42,10,7.33,82.5,11.8,0,1,bluish-green,1
159,4,15 kg,Maragogype,Washed / Wet,7.33,7.58,7.5,7.5,7.5,7.58,10,7.5,82.5,11.7,0,0,blue-green,1
160,10,15 kg,Pacamara,Washed / Wet,7.67,7.42,7.5,7.5,7.67,7.42,10,7.33,82.5,10.7,0,0,pale yellow,0
161,345,30 kg,Catuai,Washed / Wet,7.58,7.58,7.33,7.5,7.58,7.42,10,7.5,82.5,10.6,0,0,green,8
162,1,200 kg,unknown,Washed / Wet,7.42,7.42,7.58,7.42,7.58,7.5,10,7.58,82.5,8.4,0,0,green,2
163,275,69 kg,Caturra-Catuai,Washed / Wet,7.58,7.58,7.42,7.42,7.5,7.5,10,7.42,82.42,11.4,0,0,bluish-green,0
164,77,15 kg,Catimor,Washed / Wet,7.5,7.5,7.33,7.5,7.5,7.42,10,7.58,82.33,10.5,0,0,bluish-green,0
165,600,30 kg,Bourbon,Washed / Wet,7.5,7.5,7.42,7.42,7.42,7.67,10,7.42,82.33,12,0,7,green,10
166,275,69 kg,Bourbon,Washed / Wet,7.33,7.67,7.25,7.67,7.83,7.42,10,7.17,82.33,11.8,0,0,bluish-green,0
167,1,5 kg,unknown,Natural / Dry,7.67,7.58,7.42,7.5,7.33,7.42,10,7.42,82.33,10.8,0,0,green,1
168,275,69 kg,Caturra,Washed / Wet,7.67,7.5,7.33,7.58,7.33,7.42,10,7.42,82.25,11.7,0,1,greenish,3
169,3,30 kg,Typica,Washed / Wet,7.75,7.42,7.33,7.5,7.33,7.5,10,7.33,82.17,10.6,1,0,green,5
170,13,5 kg,"SL28,SL34,Ruiru11",Washed / Wet,7.5,7.5,7.42,7.5,7.25,7.5,10,7.5,82.17,11.2,0,0,green,2
171,125,69 kg,Catuai,Washed / Wet,7.67,7.5,7.25,7.5,7.5,7.33,10,7.42,82.17,10.6,0,0,green,8
172,1,3 kg,unknown,Washed / Wet,7.5,7.67,7.33,7.5,7.25,7.33,10,7.5,82.08,9.7,0,0,bluish-green,0
173,1,60 kg,unknown,Pulped natural / honey,7.33,7.42,7.42,7.5,7.42,7.5,10,7.5,82.08,8.1,0,0,greenish,3
174,1,20 kg,unknown,Washed / Wet,7.5,7.58,7.42,7.42,7.25,7.42,10,7.42,82,8.2,0,0,green,1
175,2,1 kg,Catimor,Washed / Wet,7.17,7.5,7.42,7.42,7.58,7.5,10,7.42,82,9.8,0,0,green,0
176,500,30 kg,Caturra,Washed / Wet,7.42,7.42,7.42,7.33,7.58,7.33,10,7.5,82,10.5,1,2,green,8
177,275,69 kg,,Washed / Wet,7.42,7.42,7.42,7.33,7.5,7.42,10,7.5,82,11.5,0,1,blue-green,2
178,320,60 kg,,Pulped natural / honey,7.67,7.33,7.25,7.67,7.42,7.25,10,7.42,82,12.5,0,0,bluish-green,0
179,275,69 kg,Caturra,Washed / Wet,7.5,7.5,7.33,7.5,7.33,7.33,10,7.42,81.92,11.6,0,2,greenish,2
180,540,30 kg,Caturra,Washed / Wet,7.33,7.42,7.33,7.42,7.58,7.42,10,7.42,81.92,10.3,0,0,greenish,1
181,1,6 kg,Typica,Pulped natural / honey,7.25,7.42,7.42,7.5,7.42,7.42,10,7.42,81.83,11.3,0,0,green,0
182,1,1 kg,Catimor,Pulped natural / honey,7.5,7.5,7.25,7.42,7.42,7.42,10,7.33,81.83,11.2,0,0,green,4
183,14,5 kg,Yellow Catuai,Pulped natural / honey,7.5,7.5,7.42,7.33,7.33,7.33,10,7.42,81.83,11.3,0,0,pale yellow,2
184,325,59 kg,Catucai,Natural / Dry,7.42,7.5,7.58,7.33,7.33,7.25,10,7.33,81.75,11.1,0,0,yellow-green,0
185,275,70 kg,Santander,Washed / Wet,7.33,7.5,7.33,7.42,7.42,7.42,10,7.33,81.75,11.2,0,0,yellow-green,0
186,32,69 kg,Typica,Washed / Wet,7.58,7.42,7.25,7.25,7.5,7.33,10,7.33,81.67,11.8,2,0,green,2
187,100,69 kg,Caturra,Washed / Wet,7.33,7.42,7.25,7.42,7.42,7.33,10,7.42,81.58,9.7,0,2,green,4
188,1,100 kg,Typica,Pulped natural / honey,7.42,7.5,7.33,7.33,7.33,7.33,10,7.33,81.58,9,0,0,yellow-green,0
189,1,8 kg,unknown,Pulped natural / honey,7.33,7.5,7.42,7.33,7.33,7.25,10,7.33,81.5,8.5,0,0,green,0
190,2,1 kg,Java,Washed / Wet,7.33,7.42,7.25,7.33,7.5,7.42,10,7.17,81.42,11.6,2,0,green,1
191,5,15 kg,Typica Bourbon Caturra Catimor,Natural / Dry,7.42,7.25,7.33,7.42,7.33,7.33,10,7.25,81.33,10.5,0,0,yellowish,5
192,2,1 kg,Catimor,Washed / Wet,7.25,7.25,7.42,7.25,7.42,7.42,10,7.17,81.17,10.4,0,0,green,0
193,1,30 kg,"Caturra,Colombia,Castillo",Washed / Wet,7.42,7.25,7.25,7.42,7.17,7.33,10,7.33,81.17,11.4,0,2,greenish,2
194,440,60 kg,,Natural / Dry,7.42,7.42,7.25,7.25,7.17,7.25,10,7.25,81,10.6,0,2,greenish,1
195,1,2 kg,Bourbon,Natural / Dry,7.42,7.33,7.33,7.5,7.08,7,10,7.17,80.83,10.5,0,8,bluish-green,7
196,275,69 kg,Caturra,Washed / Wet,7.25,7.25,7.17,7.33,7.08,7.25,10,7.17,80.5,11.5,0,1,greenish,3
197,275,69 kg,Sarchimor,Washed / Wet,7.42,7.17,7,7.08,7.42,7.17,10,7.17,80.42,11.2,0,0,green,5
198,3,10 kg,"Castillo,Caturra,Bourbon",Washed / Wet,7.25,7.25,7.17,7.33,7,7.17,10,7.25,80.42,11,0,3,greenish,3
199,275,69 kg,Caturra,Washed / Wet,7.5,7.25,7.17,7.17,7.17,7.08,10,7,80.33,11.8,0,6,greenish,11
200,1,2 kg,Pacas,Natural / Dry,7.08,7.25,7.08,7.42,7.42,7.08,10,7,80.33,11.5,0,10,bluish-green,7
201,440,60 kg,Catuai and Mundo Novo,Natural / Dry,7.25,7.17,7.17,7.08,7.17,7.17,10,7.17,80.17,11.6,0,1,greenish,2
202,2240,60 kg,Mundo Novo,Natural / Dry,7.17,7.17,6.92,7.17,7.42,7.17,10,7.08,80.08,11.4,0,0,green,4
203,300,30 kg,SHG,Natural / Dry,7.33,7.08,6.75,7.17,7.42,7.17,10,7.08,80,10.4,0,2,green,12
204,343,60 kg,Catimor,Washed / Wet,7.25,7.17,7.08,7,7.08,7.08,10,7,79.67,11.6,0,9,green,11
205,1,2 kg,Maragogype,Natural / Dry,6.5,6.75,6.75,7.17,7.08,7,10,6.83,78.08,11,0,12,bluish-green,13
206,600,60 kg,Mundo Novo,SEMI-LAVADO,7.25,7.08,6.67,6.83,6.83,6.67,10,6.67,78,11.3,0,0,green,1
